章节,章节名称,单词,音标(美式音标),词性,中文意思
Lesson 57,An unusual day 很不平常的一天,keep,/kiːp/,v.,使得，保持
,,spend,/spend/,v.,度过
,,weekend,/ˌwiːkˈend/,n.,周末
,,Friday,/ˈfraɪdeɪ/,n.,星期五
,,Saturday,/ˈsætərdeɪ/,n.,星期六
,,Sunday,/ˈsʌndeɪ/,n.,星期日
,,country,/ˈkʌntri/,n.,乡村
,,lucky,/ˈlʌki/,adj.,幸运的
,,church,/tʃɜːrtʃ/,n.,教堂
,,dairy,/ˈderi/,n.,乳品店
,,baker,/ˈbeɪkər/,n.,面包师傅
,,grocer,/ˈɡroʊsər/,n.,食品杂货商
Lesson 58,What's the time? 几点了？,absent,/ˈæbsənt/,adj.,缺席的
,,Monday,/ˈmʌndeɪ/,n.,星期一
,,Tuesday,/ˈtuːzdeɪ/,n.,星期二
,,Wednesday,/ˈwenzdeɪ/,n.,星期三
,,Thursday,/ˈθɜːrzdeɪ/,n.,星期四
Lesson 59,Is that all? 就这些吗？,awful,/ˈɔːfl/,adj.,让人讨厌的，坏的
,,telephone,/ˈtelɪfoʊn/,v.&n.,打电话
,,time,/taɪm/,n.,次(数)
,,answer,/ˈænsər/,v.,接(电话)
,,last,/læst/,adj.,最后的，前一次的
,,phone,/foʊn/,n.,电话(=telephone)
,,again,/əˈɡen/,adv.,又一次地
,,say,/seɪ/,v.,说
Lesson 60,What's the time? 几点了？,walk,/wɔːk/,v.,走路，步行
,,over,/ˈoʊvər/,prep.,跨越，在……之上
,,bridge,/brɪdʒ/,n.,桥
,,boat,/boʊt/,n.,船
,,river,/ˈrɪvər/,n.,河
,,ship,/ʃɪp/,n.,轮船
,,aeroplane,/ˈerəpleɪn/,n.,飞机
,,fly,/flaɪ/,v.,飞
Lesson 61,A bad cold 重感冒,go,/ɡoʊ/,v.,去
,,leave,/liːv/,v.,离开
,,early,/ˈɜːrli/,adv.,早
,,home,/hoʊm/,adv.,到家
,,arrive,/əˈraɪv/,v.,到达
,,late,/leɪt/,adv.,晚
,,night,/naɪt/,n.,夜间
Lesson 62,What's the matter with them? 他们怎么啦？,stay,/steɪ/,v.,停留，呆
,,at home,/æt hoʊm/,phrase,在家
,,television,/ˈtelɪvɪʒn/,n.,电视
,,watch,/wɑːtʃ/,v.,看
,,cigarette,/ˌsɪɡəˈret/,n.,香烟
,,smoke,/smoʊk/,v.,抽烟
,,match,/mætʃ/,n.,火柴
,,talk,/tɔːk/,v.,谈话
,,bed,/bed/,n.,床
,,lie,/laɪ/,v.,躺
,,listen,/ˈlɪsn/,v.,听
,,music,/ˈmjuːzɪk/,n.,音乐
Lesson 63,Thank you, doctor. 谢谢你，医生,Tom,/tɑːm/,n.,汤姆
,,already,/ɔːlˈredi/,adv.,已经
,,just,/dʒʌst/,adv.,刚刚
,,banana,/bəˈnænə/,n.,香蕉
,,pear,/per/,n.,梨
,,grape,/ɡreɪp/,n.,葡萄
,,peach,/piːtʃ/,n.,桃
,,apple,/ˈæpl/,n.,苹果
,,orange,/ˈɔːrɪndʒ/,n.,橙
,,strawberry,/ˈstrɔːberi/,n.,草莓
,,lemon,/ˈlemən/,n.,柠檬
Lesson 64,Don't...! 不要……！,pack,/pæk/,v.,打包，装箱
,,suitcase,/ˈsuːtkeɪs/,n.,手提箱
,,leave,/liːv/,v.,离开
,,Jim,/dʒɪm/,n.,吉姆
,,Paris,/ˈpærɪs/,n.,巴黎
,,cinema,/ˈsɪnəmə/,n.,电影院
,,film,/fɪlm/,n.,电影
,,beautiful,/ˈbjuːtɪfl/,adj.,漂亮的
,,city,/ˈsɪti/,n.,城市
,,never,/ˈnevər/,adv.,从来没有
,,ever,/ˈevər/,adv.,在任何时候
Lesson 65,Not a baby 不是小孩子,have,/hæv/,v.,吃，喝，度过
,,have been,/hæv bɪn/,phrase,去过
,,holiday,/ˈhɑːlədeɪ/,n.,假日
Lesson 66,What's the time? 几点了？,the U.S.,/ðə juː ˈes/,n.,美国
,,Brazil,/brəˈzɪl/,n.,巴西
,,Holland,/ˈhɑːlənd/,n.,荷兰
,,England,/ˈɪŋɡlənd/,n.,英国
,,France,/fræns/,n.,法国
,,Germany,/ˈdʒɜːrməni/,n.,德国
,,Italy,/ˈɪtəli/,n.,意大利
,,Norway,/ˈnɔːrweɪ/,n.,挪威
,,Russia,/ˈrʌʃə/,n.,俄罗斯
,,Spain,/speɪn/,n.,西班牙
,,Sweden,/ˈswiːdn/,n.,瑞典
Lesson 67,The weekend 周末,crash,/kræʃ/,n.,碰撞
,,repair,/rɪˈper/,v.,修理
,,try,/traɪ/,v.,努力，设法
,,John,/dʒɑːn/,n.,约翰
,,garage,/ɡəˈrɑːʒ/,n.,车库，汽车修理厂
,,attendant,/əˈtendənt/,n.,接待员
,,bring,/brɪŋ/,v.,带来，送来
Lesson 68,What's the time? 几点了？,lamp-post,/ˈlæmp poʊst/,n.,路灯杆
Lesson 69,The car crash 车祸,because,/bɪˈkɔːz/,conj.,因为
,,retire,/rɪˈtaɪər/,v.,退休
,,work,/wɜːrk/,v.,工作
,,still,/stɪl/,adv.,还，仍旧
,,employ,/ɪmˈplɔɪ/,v.,雇佣
,,retired,/rɪˈtaɪərd/,adj.,退休的
,,company,/ˈkʌmpəni/,n.,公司
,,airline,/ˈerlaɪn/,n.,航空公司
,,pilot,/ˈpaɪlət/,n.,飞行员
,,return,/rɪˈtɜːrn/,v.,返回
,,fly,/flaɪ/,v.,飞行
,,New York,/nuː jɔːrk/,n.,纽约
,,Tokyo,/ˈtoʊkjoʊ/,n.,东京
,,Madrid,/məˈdrɪd/,n.,马德里
Lesson 70,When were you there? 你是什么时候在那儿的？,Athens,/ˈæθənz/,n.,雅典
,,Berlin,/bɜːrˈlɪn/,n.,柏林
,,Bombay,/bɑːmˈbeɪ/,n.,孟买
,,Geneva,/dʒəˈniːvə/,n.,日内瓦
,,Moscow,/ˈmɑːskoʊ/,n.,莫斯科
,,Rome,/roʊm/,n.,罗马
,,Seoul,/soʊl/,n.,首尔
,,Stockholm,/ˈstɑːkhoʊm/,n.,斯德哥尔摩
,,Sydney,/ˈsɪdni/,n.,悉尼
,,next,/nekst/,adj.,下一个
,,week,/wiːk/,n.,周
Lesson 71,He's awful! 他讨厌透了！,lucky,/ˈlʌki/,adj.,幸运的
,,station,/ˈsteɪʃn/,n.,车站
,,porter,/ˈpɔːrtər/,n.,搬运工
,,several,/ˈsevrəl/,adj.,几个
,,yacht,/jɑːt/,n.,快艇
,,harbour,/ˈhɑːrbər/,n.,港口
,,London,/ˈlʌndən/,n.,伦敦
,,return,/rɪˈtɜːrn/,n.,往返
,,train,/treɪn/,n.,火车
,,platform,/ˈplætfɔːrm/,n.,站台
,,plenty,/ˈplenti/,n.,大量
,,bar,/bɑːr/,n.,酒吧
Lesson 72,When did you...? 你什么时候……？,catch,/kætʃ/,v.,赶上
,,miss,/mɪs/,v.,错过
,,leave,/liːv/,v.,离开
,,describe,/dɪˈskraɪb/,v.,描述
,,zip,/zɪp/,n.,拉链
,,label,/ˈleɪbl/,n.,标签
,,handle,/ˈhændl/,n.,提手，把手
,,address,/əˈdres/,n.,地址
,,pence,/pens/,n.,便士(penny的复数)
,,belong,/bɪˈlɔːŋ/,v.,属于
Lesson 73,The way to King Street 到国王街的走法,ago,/əˈɡoʊ/,adv.,以前
,,buy,/baɪ/,v.,买
Lesson 74,What did they do? 他们干了什么？,pair,/per/,n.,双，对
,,fashion,/ˈfæʃn/,n.,(服装的)流行式样
,,uncomfortable,/ʌnˈkʌmftəbl/,adj.,不舒服的
,,wear,/wer/,v.,穿着
Lesson 75,Uncomfortable shoes 不舒适的鞋子,appointment,/əˈpɔɪntmənt/,n.,约会，预约
,,urgent,/ˈɜːrdʒənt/,adj.,紧急的，急迫的
,,till,/tɪl/,prep.,直到……为止
Lesson 76,When did you...? 你什么时候……？,ago,/əˈɡoʊ/,adv.,以前
,,buy,/baɪ/,v.,买
Lesson 77,Terrible toothache 要命的牙痛,shopping,/ˈʃɑːpɪŋ/,n.,购物
,,list,/lɪst/,n.,单子
,,vegetable,/ˈvedʒtəbl/,n.,蔬菜
,,need,/niːd/,v.,需要
,,hope,/hoʊp/,v.,希望
,,thing,/θɪŋ/,n.,事情
,,money,/ˈmʌni/,n.,钱
Lesson 78,When did you...? 你什么时候……？,need,/niːd/,v.,需要
,,hope,/hoʊp/,v.,希望
,,thing,/θɪŋ/,n.,事情
,,money,/ˈmʌni/,n.,钱
Lesson 79,Carol's shopping list 卡罗尔的购物单,bath,/bɑːθ/,n.,洗澡
,,nearly,/ˈnɪrli/,adv.,几乎，将近
,,ready,/ˈredi/,adj.,准备好的，完好的
,,dinner,/ˈdɪnər/,n.,正餐，晚餐
,,restaurant,/ˈrestərɑːnt/,n.,饭馆，餐馆
,,roast,/roʊst/,adj.,烤的
,,breakfast,/ˈbrekfəst/,n.,早饭
,,haircut,/ˈherkʌt/,n.,理发
,,party,/ˈpɑːrti/,n.,聚会
,,holiday,/ˈhɑːlədeɪ/,n.,假日
Lesson 80,I must go to the... 我必须去……,bath,/bɑːθ/,n.,洗澡
,,nearly,/ˈnɪrli/,adv.,几乎，将近
,,ready,/ˈredi/,adj.,准备好的，完好的
,,dinner,/ˈdɪnər/,n.,正餐，晚餐
,,restaurant,/ˈrestərɑːnt/,n.,饭馆，餐馆
,,roast,/roʊst/,adj.,烤的
,,breakfast,/ˈbrekfəst/,n.,早饭
,,haircut,/ˈherkʌt/,n.,理发
,,party,/ˈpɑːrti/,n.,聚会
,,holiday,/ˈhɑːlədeɪ/,n.,假日
Lesson 81,Roast beef and potatoes 烤牛肉和土豆,pack,/pæk/,v.,打包，装箱
,,suitcase,/ˈsuːtkeɪs/,n.,手提箱
,,leave,/liːv/,v.,离开
,,already,/ɔːlˈredi/,adv.,已经
,,just,/dʒʌst/,adv.,刚刚
,,Tom,/tɑːm/,n.,汤姆
,,Paris,/ˈpærɪs/,n.,巴黎
,,cinema,/ˈsɪnəmə/,n.,电影院
,,film,/fɪlm/,n.,电影
,,beautiful,/ˈbjuːtɪfl/,adj.,漂亮的
Lesson 82,I had... 我吃(喝、从事)了……,city,/ˈsɪti/,n.,城市
,,never,/ˈnevər/,adv.,从来没有
,,ever,/ˈevər/,adv.,在任何时候
,,have,/hæv/,v.,吃，喝，度过
,,have been,/hæv bɪn/,phrase,去过
,,holiday,/ˈhɑːlədeɪ/,n.,假日
Lesson 83,Going on holiday 度假,crash,/kræʃ/,n.,碰撞
,,repair,/rɪˈper/,v.,修理
,,try,/traɪ/,v.,努力，设法
,,John,/dʒɑːn/,n.,约翰
,,garage,/ɡəˈrɑːʒ/,n.,车库，汽车修理厂
,,attendant,/əˈtendənt/,n.,接待员
,,bring,/brɪŋ/,v.,带来，送来
Lesson 84,Have you had...? 你已经……了吗？,lamp-post,/ˈlæmp poʊst/,n.,路灯杆
Lesson 85,Paris in the spring 巴黎之春,because,/bɪˈkɔːz/,conj.,因为
,,retire,/rɪˈtaɪər/,v.,退休
,,work,/wɜːrk/,v.,工作
,,still,/stɪl/,adv.,还，仍旧
,,employ,/ɪmˈplɔɪ/,v.,雇佣
,,retired,/rɪˈtaɪərd/,adj.,退休的
,,company,/ˈkʌmpəni/,n.,公司
,,airline,/ˈerlaɪn/,n.,航空公司
,,pilot,/ˈpaɪlət/,n.,飞行员
,,return,/rɪˈtɜːrn/,v.,返回
Lesson 86,What have you done? 你已经做了什么？,fly,/flaɪ/,v.,飞行
,,New York,/nuː jɔːrk/,n.,纽约
,,Tokyo,/ˈtoʊkjoʊ/,n.,东京
,,Madrid,/məˈdrɪd/,n.,马德里
,,Athens,/ˈæθənz/,n.,雅典
,,Berlin,/bɜːrˈlɪn/,n.,柏林
,,Bombay,/bɑːmˈbeɪ/,n.,孟买
,,Geneva,/dʒəˈniːvə/,n.,日内瓦
,,Moscow,/ˈmɑːskoʊ/,n.,莫斯科
Lesson 87,A car crash 车祸,Rome,/roʊm/,n.,罗马
,,Seoul,/soʊl/,n.,首尔
,,Stockholm,/ˈstɑːkhoʊm/,n.,斯德哥尔摩
,,Sydney,/ˈsɪdni/,n.,悉尼
,,next,/nekst/,adj.,下一个
,,week,/wiːk/,n.,周
,,lucky,/ˈlʌki/,adj.,幸运的
Lesson 88,Have you...yet? 你已经……了吗？,station,/ˈsteɪʃn/,n.,车站
,,porter,/ˈpɔːrtər/,n.,搬运工
,,several,/ˈsevrəl/,adj.,几个
,,yacht,/jɑːt/,n.,快艇
,,harbour,/ˈhɑːrbər/,n.,港口
,,London,/ˈlʌndən/,n.,伦敦
,,return,/rɪˈtɜːrn/,n.,往返
,,train,/treɪn/,n.,火车
,,platform,/ˈplætfɔːrm/,n.,站台
,,plenty,/ˈplenti/,n.,大量
,,bar,/bɑːr/,n.,酒吧
Lesson 89,For sale 待售,catch,/kætʃ/,v.,赶上
,,miss,/mɪs/,v.,错过
,,leave,/liːv/,v.,离开
,,describe,/dɪˈskraɪb/,v.,描述
,,zip,/zɪp/,n.,拉链
,,label,/ˈleɪbl/,n.,标签
,,handle,/ˈhændl/,n.,提手，把手
,,address,/əˈdres/,n.,地址
,,pence,/pens/,n.,便士(penny的复数)
,,belong,/bɪˈlɔːŋ/,v.,属于
Lesson 90,Have you sold...yet? 你已经把……卖了吗？,ago,/əˈɡoʊ/,adv.,以前
,,buy,/baɪ/,v.,买
,,cost,/kɔːst/,v.,花费
,,worth,/wɜːrθ/,prep.,值……钱
,,pound,/paʊnd/,n.,英镑
,,penny,/ˈpeni/,n.,便士
Lesson 91,Poor Ian! 可怜的伊恩！,still,/stɪl/,adv.,还，仍旧
,,move,/muːv/,v.,搬家
,,miss,/mɪs/,v.,想念，思念
,,neighbour,/ˈneɪbər/,n.,邻居
,,person,/ˈpɜːrsn/,n.,人
,,people,/ˈpiːpl/,n.,人们
,,poor,/pʊr/,adj.,可怜的
Lesson 92,When will...? 什么时候要……？,will,/wɪl/,modal verb,将要
,,tomorrow,/təˈmɑːroʊ/,adv.,明天
,,the day after tomorrow,/ðə deɪ ˈæftər təˈmɑːroʊ/,phrase,后天
,,this week,/ðɪs wiːk/,phrase,本周
,,next week,/nekst wiːk/,phrase,下周
,,this month,/ðɪs mʌnθ/,phrase,本月
,,next month,/nekst mʌnθ/,phrase,下月
,,this year,/ðɪs jɪr/,phrase,今年
,,next year,/nekst jɪr/,phrase,明年
Lesson 93,Our new neighbour 我们的新邻居,pilot,/ˈpaɪlət/,n.,飞行员
,,return,/rɪˈtɜːrn/,v.,返回
,,New York,/nuː jɔːrk/,n.,纽约
,,Tokyo,/ˈtoʊkjoʊ/,n.,东京
,,Madrid,/məˈdrɪd/,n.,马德里
,,fly,/flaɪ/,v.,飞行
,,Athens,/ˈæθənz/,n.,雅典
,,Berlin,/bɜːrˈlɪn/,n.,柏林
,,Bombay,/bɑːmˈbeɪ/,n.,孟买
,,Geneva,/dʒəˈniːvə/,n.,日内瓦
Lesson 94,When did you/ will you go to...? 你何时曾去/将去……？,Moscow,/ˈmɑːskoʊ/,n.,莫斯科
,,Rome,/roʊm/,n.,罗马
,,Seoul,/soʊl/,n.,首尔
,,Stockholm,/ˈstɑːkhoʊm/,n.,斯德哥尔摩
,,Sydney,/ˈsɪdni/,n.,悉尼
,,next,/nekst/,adj.,下一个
,,week,/wiːk/,n.,周
Lesson 95,Tickets, please. 请把车票拿出来,return,/rɪˈtɜːrn/,n.,往返
,,train,/treɪn/,n.,火车
,,platform,/ˈplætfɔːrm/,n.,站台
,,plenty,/ˈplenti/,n.,大量
,,bar,/bɑːr/,n.,酒吧
,,station,/ˈsteɪʃn/,n.,车站
,,porter,/ˈpɔːrtər/,n.,搬运工
,,several,/ˈsevrəl/,adj.,几个
,,yacht,/jɑːt/,n.,快艇
,,harbour,/ˈhɑːrbər/,n.,港口
Lesson 96,What's the exact time? 确切的时间是几点？,leave,/liːv/,v.,离开
,,miss,/mɪs/,v.,错过
,,catch,/kætʃ/,v.,赶上
,,wait,/weɪt/,v.,等待
,,late,/leɪt/,adv.,晚
,,early,/ˈɜːrli/,adv.,早
,,exact,/ɪɡˈzækt/,adj.,精确的
Lesson 97,A small blue case 一只蓝色的小箱子,describe,/dɪˈskraɪb/,v.,描述
,,zip,/zɪp/,n.,拉链
,,label,/ˈleɪbl/,n.,标签
,,handle,/ˈhændl/,n.,提手，把手
,,address,/əˈdres/,n.,地址
,,pence,/pens/,n.,便士(penny的复数)
,,belong,/bɪˈlɔːŋ/,v.,属于
Lesson 98,Whose is it? 它是谁的？,whose,/huːz/,pron.,谁的
,,mine,/maɪn/,pron.,我的(东西)
,,yours,/jɔːrz/,pron.,你的，你们的(东西)
,,his,/hɪz/,pron.,他的(东西)
,,hers,/hɜːrz/,pron.,她的(东西)
,,ours,/ˈaʊərz/,pron.,我们的(东西)
,,theirs,/ðerz/,pron.,他们的(东西)
Lesson 99,Ow! 啊哟！,slip,/slɪp/,v.,滑倒
,,fall,/fɔːl/,v.,落下，跌倒
,,downstairs,/ˌdaʊnˈsterz/,adv.,下楼
,,hurt,/hɜːrt/,v.,伤，伤害，疼痛
,,back,/bæk/,n.,背
,,stand up,/stænd ʌp/,phrase,起立，站起来
,,help,/help/,v.&n.,帮助
,,at once,/æt wʌns/,phrase,立即
,,sure,/ʃʊr/,adj.,一定的，确信的
,,X-ray,/ˈeks reɪ/,n.,X光透视
Lesson 100,He says that... She says that... They say that...,licence,/ˈlaɪsns/,n.,执照
,,sell,/sel/,v.,卖
,,because,/bɪˈkɔːz/,conj.,因为
,,retire,/rɪˈtaɪər/,v.,退休
,,cost,/kɔːst/,v.,花费
,,pound,/paʊnd/,n.,英镑
,,worth,/wɜːrθ/,prep.,值……钱
,,penny,/ˈpeni/,n.,便士
Lesson 101,A card from Jimmy 吉米的明信片,card,/kɑːrd/,n.,明信片
,,Scotland,/ˈskɑːtlənd/,n.,苏格兰
,,youth,/juːθ/,n.,青年
,,hostel,/ˈhɑːstl/,n.,招待所，旅馆
,,association,/əˌsoʊsiˈeɪʃn/,n.,协会
,,soon,/suːn/,adv.,不久
,,write,/raɪt/,v.,写
Lesson 102,He says he... She says she... They say they...,speak,/spiːk/,v.,讲，说
,,understand,/ˌʌndərˈstænd/,v.,懂，明白
,,read,/riːd/,v.,读
,,write,/raɪt/,v.,写
,,sing,/sɪŋ/,v.,唱
,,dance,/dæns/,v.,跳舞
Lesson 103,The French test 法语考试,exam,/ɪɡˈzæm/,n.,考试
,,pass,/pæs/,v.,及格，通过
,,mathematics,/ˌmæθəˈmætɪks/,n.,数学
,,question,/ˈkwestʃən/,n.,问题
,,easy,/ˈiːzi/,adj.,容易的
,,enough,/ɪˈnʌf/,adv.,足够地
,,paper,/ˈpeɪpər/,n.,考卷
,,fail,/feɪl/,v.,未及格，失败
,,answer,/ˈænsər/,v.,回答
,,mark,/mɑːrk/,n.,分数
Lesson 104,Too and enough 太和足够,rest,/rest/,n.,其他的东西
,,difficult,/ˈdɪfɪkəlt/,adj.,困难的
,,too,/tuː/,adv.,太
,,enough,/ɪˈnʌf/,adj.,足够的
,,clever,/ˈklevər/,adj.,聪明的
,,stupid,/ˈstuːpɪd/,adj.,笨的
,,cheap,/tʃiːp/,adj.,便宜的
,,expensive,/ɪkˈspensɪv/,adj.,贵的
,,fresh,/freʃ/,adj.,新鲜的
,,stale,/steɪl/,adj.,变馊的
Lesson 105,Full of mistakes 错误百出,low,/loʊ/,adj.,低的
,,loud,/laʊd/,adj.,大声的
,,high,/haɪ/,adj.,高的
,,hard,/hɑːrd/,adj.,硬的
,,sweet,/swiːt/,adj.,甜的
,,soft,/sɔːft/,adj.,软的
,,sour,/ˈsaʊər/,adj.,酸的
,,correct,/kəˈrekt/,v.,改正，纠正
,,mistake,/mɪˈsteɪk/,n.,错误
,,present,/ˈpreznt/,n.,礼物
Lesson 106,I want you/him/her/them to... 我要你/他/她/他们……,dictionary,/ˈdɪkʃəneri/,n.,词典
,,carry,/ˈkæri/,v.,携带
,,correct,/kəˈrekt/,v.,改正
,,keep,/kiːp/,v.,保存，保留
,,lend,/lend/,v.,借给
,,put,/pʊt/,v.,放
,,send,/send/,v.,送
,,show,/ʃoʊ/,v.,给……看
,,tell,/tel/,v.,告诉
Lesson 107,It's too small. 太小了,madam,/ˈmædəm/,n.,夫人，女士(对妇女的尊称)
,,smart,/smɑːrt/,adj.,漂亮的
,,as well,/æz wel/,phrase,同样
,,suit,/suːt/,v.,适于
,,pretty,/ˈprɪti/,adj.,漂亮的
Lesson 108,How do they compare? 它们比较起来怎么样？,large,/lɑːrdʒ/,adj.,大的
,,small,/smɔːl/,adj.,小的
,,big,/bɪɡ/,adj.,大的
,,little,/ˈlɪtl/,adj.,小的
,,sharp,/ʃɑːrp/,adj.,尖的
,,blunt,/blʌnt/,adj.,钝的
,,light,/laɪt/,adj.,轻的
,,heavy,/ˈhevi/,adj.,重的
,,long,/lɔːŋ/,adj.,长的
,,short,/ʃɔːrt/,adj.,短的
Lesson 109,A good idea 好主意,idea,/aɪˈdɪə/,n.,主意
,,a little,/ə ˈlɪtl/,phrase,少许(用于不可数名词之前)
,,teaspoonful,/ˈtiːspuːnfʊl/,n.,一满茶匙
,,less,/les/,adj.,(little的比较级)较少的，更小的
,,a few,/ə fjuː/,phrase,几个(用于可数名词之前)
,,pity,/ˈpɪti/,n.,遗憾
,,instead,/ɪnˈsted/,adv.,代替
,,advice,/ədˈvaɪs/,n.,建议，忠告
,,most,/moʊst/,adj.,(many,much的最高级)最多的
,,least,/liːst/,adj.,(little的最高级)最小的，最少的
Lesson 110,How do they compare? 它们比较起来怎么样？,best,/best/,adj.,(good的最高级)最好的
,,worse,/wɜːrs/,adj.,(bad的比较级)更坏的
,,worst,/wɜːrst/,adj.,(bad的最高级)最坏的
,,more,/mɔːr/,adj.,(many,much的比较级)更多的
,,fewer,/ˈfjuːər/,adj.,(few的比较级)较少的
,,fewest,/ˈfjuːɪst/,adj.,(few的最高级)最少的
Lesson 111,The most expensive model 最昂贵的型号,model,/ˈmɑːdl/,n.,型号，式样
,,afford,/əˈfɔːrd/,v.,付得起(钱)
,,deposit,/dɪˈpɑːzɪt/,n.,预付定金
,,instalment,/ɪnˈstɔːlmənt/,n.,分期付款
,,price,/praɪs/,n.,价格
,,millionaire,/ˌmɪljəˈner/,n.,百万富翁
Lesson 112,How much does it cost? 多少钱？,expensive,/ɪkˈspensɪv/,adj.,昂贵的
,,cheap,/tʃiːp/,adj.,便宜的
,,the cheapest,/ðə ˈtʃiːpɪst/,phrase,最便宜的
,,the most expensive,/ðə moʊst ɪkˈspensɪv/,phrase,最贵的
,,the best,/ðə best/,phrase,最好的
,,the worst,/ðə wɜːrst/,phrase,最坏的
,,the most interesting,/ðə moʊst ˈɪntrəstɪŋ/,phrase,最有趣的
,,the least interesting,/ðə liːst ˈɪntrəstɪŋ/,phrase,最没意思的
Lesson 113,Small change 零钱,conductor,/kənˈdʌktər/,n.,售票员
,,fare,/fer/,n.,车费，车票钱
,,change,/tʃeɪndʒ/,v.,换(钱)
,,note,/noʊt/,n.,纸币
,,passenger,/ˈpæsɪndʒər/,n.,乘客
,,none,/nʌn/,pron.,没有任何东西
,,neither,/ˈnaɪðər/,adv.,也不
,,get off,/ɡet ɔːf/,phrase,下车
,,tramp,/træmp/,n.,流浪汉
,,except,/ɪkˈsept/,prep.,除……外
Lesson 114,I've got none. 我什么也没有,anyone,/ˈeniwʌn/,pron.,任何人
,,knock,/nɑːk/,v.,敲，打
,,everything,/ˈevriθɪŋ/,pron.,一切事物
,,quiet,/ˈkwaɪət/,adj.,宁静的，安静的
,,impossible,/ɪmˈpɑːsəbl/,adj.,不可能的
,,invite,/ɪnˈvaɪt/,v.,邀请
,,anything,/ˈeniθɪŋ/,pron.,任何东西
,,nothing,/ˈnʌθɪŋ/,pron.,什么也没有
,,lemonade,/ˌleməˈneɪd/,n.,柠檬水
,,joke,/dʒoʊk/,v.,开玩笑
Lesson 115,Knock, knock! 敲敲门,asleep,/əˈsliːp/,adj.,睡觉，睡着
,,glasses,/ˈɡlæsɪz/,n.,眼镜
,,dining room,/ˈdaɪnɪŋ ruːm/,n.,饭厅
,,coin,/kɔɪn/,n.,硬币
,,mouth,/maʊθ/,n.,嘴
,,swallow,/ˈswɑːloʊ/,v.,吞下
,,later,/ˈleɪtər/,adv.,后来
,,toilet,/ˈtɔɪlət/,n.,厕所，盥洗室
,,ring,/rɪŋ/,v.,响
Lesson 116,Every, no, any and some 每一个、没有、任何和一些,knock,/nɑːk/,v.,敲，打
,,everything,/ˈevriθɪŋ/,pron.,一切事物
,,quiet,/ˈkwaɪət/,adj.,宁静的，安静的
,,impossible,/ɪmˈpɑːsəbl/,adj.,不可能的
,,invite,/ɪnˈvaɪt/,v.,邀请
,,anything,/ˈeniθɪŋ/,pron.,任何东西
,,nothing,/ˈnʌθɪŋ/,pron.,什么也没有
,,lemonade,/ˌleməˈneɪd/,n.,柠檬水
,,joke,/dʒoʊk/,v.,开玩笑
Lesson 117,Tommy's breakfast 汤米的早餐,dining room,/ˈdaɪnɪŋ ruːm/,n.,饭厅
,,coin,/kɔɪn/,n.,硬币
,,mouth,/maʊθ/,n.,嘴
,,swallow,/ˈswɑːloʊ/,v.,吞下
,,later,/ˈleɪtər/,adv.,后来
,,toilet,/ˈtɔɪlət/,n.,厕所，盥洗室
,,ring,/rɪŋ/,v.,响
,,when,/wen/,conj.,当……时候
,,while,/waɪl/,conj.,在……期间
,,breakfast,/ˈbrekfəst/,n.,早饭
Lesson 118,What were you doing? 你那时正在做什么？,dinner,/ˈdɪnər/,n.,正餐
,,lunch,/lʌntʃ/,n.,午饭
,,supper,/ˈsʌpər/,n.,晚饭
,,meal,/miːl/,n.,一顿饭
,,drink,/drɪŋk/,v.,喝
,,eat,/iːt/,v.,吃
,,cook,/kʊk/,v.,做饭
,,wash,/wɑːʃ/,v.,洗
,,clean,/kliːn/,v.,打扫
,,read,/riːd/,v.,读
Lesson 119,A true story 一个真实的故事,story,/ˈstɔːri/,n.,故事
,,happen,/ˈhæpən/,v.,发生
,,thief,/θiːf/,n.,贼
,,enter,/ˈentər/,v.,进入
,,dark,/dɑːrk/,adj.,黑暗的
,,torch,/tɔːrtʃ/,n.,手电筒
,,voice,/vɔɪs/,n.,(说话的)声音
,,parrot,/ˈpærət/,n.,鹦鹉
,,exercise book,/ˈeksərsaɪz bʊk/,n.,练习本
,,true,/truː/,adj.,真实的
Lesson 120,It had already happened. 事情已经发生了,basket,/ˈbæskɪt/,n.,篮子
,,food,/fuːd/,n.,食物
,,water,/ˈwɔːtər/,n.,水
,,tea,/tiː/,n.,茶
,,coffee,/ˈkɔːfi/,n.,咖啡
,,beer,/bɪr/,n.,啤酒
,,wine,/waɪn/,n.,葡萄酒
,,chocolate,/ˈtʃɑːklət/,n.,巧克力
,,biscuit,/ˈbɪskɪt/,n.,饼干
,,cake,/keɪk/,n.,蛋糕
Lesson 121,The man in a hat 戴帽子的男士,customer,/ˈkʌstəmər/,n.,顾客
,,forget,/fərˈɡet/,v.,忘记
,,manager,/ˈmænɪdʒər/,n.,经理
,,serve,/sɜːrv/,v.,照应，服务，接待
,,counter,/ˈkaʊntər/,n.,柜台
,,recognize,/ˈrekəɡnaɪz/,v.,认出
,,road,/roʊd/,n.,路
,,during,/ˈdʊrɪŋ/,prep.,在……期间
,,trip,/trɪp/,n.,旅行
,,offer,/ˈɔːfər/,v.,提供
Lesson 122,Who (whom), which and that 关系代词,job,/dʒɑːb/,n.,工作
,,house,/haʊs/,n.,房子
,,car,/kɑːr/,n.,汽车
,,dog,/dɔːɡ/,n.,狗
,,cat,/kæt/,n.,猫
,,man,/mæn/,n.,男人
,,woman,/ˈwʊmən/,n.,女人
